Date,Name,ELO_smooth
2015-01-03,Anezka Vlkova,NA
2015-01-03,Angus Lloyd,NA
2015-01-03,Anlan Qiu,NA
2015-01-03,Ashika Shahameeran,NA
2015-01-03,Aviral Batra,NA
2015-01-03,Ayodele Sadiq,NA
2015-01-03,Barbara Graczyk-Gibiec,NA
2015-01-03,Benjamin Oh,NA
2015-01-03,Bertie Carvey,NA
2015-01-03,Bethan Mattingley,NA
2015-01-03,Bill Harle,NA
2015-01-03,Bill Hunt,NA
2015-01-03,Bill Wilkins,NA
2015-01-03,Celso Bettencourt Pinto,NA
2015-01-03,Charles Summers,NA
2015-01-03,Chris Fox,NA
2015-01-03,Chris Golding,NA
2015-01-03,Chris Hooper,NA
2015-01-03,Christine Muschiato,NA
2015-01-03,Cian Grattidge,NA
2015-01-03,Con Ariti,NA
2015-01-03,Connor Evans,NA
2015-01-03,Conor Hunt,NA
2015-01-03,Csege Hanczar,NA
2015-01-03,Csombor Hanczar,NA
2015-01-03,Cyril Ley,NA
2015-01-03,Dave McGhee,NA
2015-01-03,David L Roberts,NA
2015-01-03,David ODonnell,NA
2015-01-03,David Thorne,NA
2015-01-03,Dennis Stokes-Carter,NA
2015-01-03,Derek Jones,NA
2015-01-03,Derek Smith,NA
2015-01-03,Dominic Murray,NA
2015-01-03,Edward Donovan,NA
2015-01-03,Edward Mason,1697
2015-01-03,Egor Muljarov,NA
2015-01-03,Elliott MacNeil,NA
2015-01-03,Emma Kong,NA
2015-01-03,Evan Lewis,NA
2015-01-03,Gavin Jones,NA
2015-01-03,George Turner,NA
2015-01-03,Georgi Korovski,NA
2015-01-03,Greg Lloyd,NA
2015-01-03,Gruff Jones,NA
2015-01-03,Grzegorz Toczek,NA
2015-01-03,Guy Wagner,NA
2015-01-03,Hamid Farani Sani,NA
2015-01-03,Hanni Youssef,NA
2015-01-03,HaoYu Yin,NA
2015-01-03,Harri Hampson,NA
2015-01-03,Hefin Jones,NA
2015-01-03,Henry Jones,NA
2015-01-03,Hugh Price,NA
2015-01-03,Ieuan Bevan Jones,NA
2015-01-03,Isaac Aljabri,NA
2015-01-03,Ivan De La Cruz,NA
2015-01-03,Jack Nicol,NA
2015-01-03,Jaime Davies,NA
2015-01-03,Jake Hurley,NA
2015-01-03,James Tapp,NA
2015-01-03,Javier Martin Perez,NA
2015-01-03,Jeff Rowland,NA
2015-01-03,Jen Taylor,NA
2015-01-03,Joe Fathallah,2018
2015-01-03,John Fletcher,NA
2015-01-03,John Hannay,NA
2015-01-03,John Rowles,NA
2015-01-03,John Trevelyan,NA
2015-01-03,Jonathan Bold,NA
2015-01-03,Jonathan Lewis,NA
2015-01-03,Joseph Sartin,NA
2015-01-03,Joseph Setchfield,NA
2015-01-03,Josh Robinson,NA
2015-01-03,Joshua McKenna,NA
2015-01-03,Juan Carlos Payan,NA
2015-01-03,Juan Rodriguez,NA
2015-01-03,Jude Roberts,NA
2015-01-03,Keith Thompson,NA
2015-01-03,Kimberly Chong,NA
2015-01-03,Kristan Enoch,NA
2015-01-03,Krzysztof Jakubiak,NA
2015-01-03,Leon Zedlmayer,NA
2015-01-03,Marcell Vesz,NA
2015-01-03,Mark Maddock,NA
2015-01-03,Martin Blackman-Siegler,NA
2015-01-03,Mateusz Graczyk,NA
2015-01-03,Matt Staniforth,NA
2015-01-03,Matthew Davies,NA
2015-01-03,Matthew Wilson,NA
2015-01-03,Micah OToole,NA
2015-01-03,Michael Arribas-Ayllon,NA
2015-01-03,Mike Edwards,NA
2015-01-03,Mike Smith,NA
2015-01-03,Miltos Zoumekas,NA
2015-01-03,Muhieddin Hamadah,NA
2015-01-03,Nick Van Noorden,NA
2015-01-03,Nigel Ralphs,NA
2015-01-03,Oleksandr Zhuravel,NA
2015-01-03,Olivia Smith,NA
2015-01-03,Paul Meara,NA
2015-01-03,Peter Ehsandar,NA
2015-01-03,Peter Quinn,NA
2015-01-03,Phil Buttle,NA
2015-01-03,Piotr Graczyk,NA
2015-01-03,Reginald Mba,NA
2015-01-03,Reuben Hilliar,NA
2015-01-03,Richard Cousins,NA
2015-01-03,Ryan Cheung,NA
2015-01-03,Sam Jukes,1829
2015-01-03,Sam Rhydderch,NA
2015-01-03,Sam Thomas,NA
2015-01-03,Samuele Scarpignato,NA
2015-01-03,Shayanna Sivarajasingam,1825
2015-01-03,Stephen Hughes,NA
2015-01-03,Steve Curtis,NA
2015-01-03,Steve Herkes,NA
2015-01-03,Stuart Enoch,NA
2015-01-03,Tom Brown,2134
2015-01-03,Tom McIlveen,NA
2015-01-03,Tom Stanton,NA
2015-01-03,Varun Varma,NA
2015-01-03,Vaseekaran Sivarajasingam,NA
