Date,Player1,Player2,OppKey,OppRating_Display,RatingType,Result,New,Tot,Exp,Pts
2024-07-05,Jose Camacho Collados,Calum Harris,e1 calum harris,1919,E1,1,2449,0.9,0.9,1
2024-07-05,Jose Camacho Collados,Maria Florencia Fernandez,NA,2103,FIDE,0,2440,1.78,0.88,1
2024-07-06,Jose Camacho Collados,Lynda Smith,g1 lynda smith,1886,G1,1,2441,2.68,0.9,2
2024-07-07,Jose Camacho Collados,Jack Liu,NA,2230,ENG,1,2443,3.46,0.78,3
2024-07-07,Jose Camacho Collados,James Golding,NA,2235,ENG,0.5,2441,4.23,0.77,3.5
2024-07-08,Jose Camacho Collados,Alex Bullen,e1 alex bullen,2243,E1,1,2443,4.99,0.76,4.5
2024-07-09,Jose Camacho Collados,Jack Rudd,NA,2324,ENG,0.5,2441,5.66,0.67,5
2024-07-09,Jose Camacho Collados,Harry Grieve,NA,2521,ENG,0,2437,6.06,0.4,5
2024-07-10,Jose Camacho Collados,Michael Binks,e1 michael binks,1994,E1,1,2438,6.96,0.9,6
2024-09-11,Jose Camacho Collados,Mohamed Bilal Houssein,NA,1870,FIDE,1,2439,7.86,0.9,7
2024-09-12,Jose Camacho Collados,Ivan Schitco,NA,2527,FIDE,0.5,2440,8.25,0.39,7.5
2024-09-14,Jose Camacho Collados,Sebastian Bogner,NA,2545,FIDE,0,2437,8.61,0.36,7.5
2024-09-15,Jose Camacho Collados,Providence,NA,2239,FIDE,0.5,2434,9.38,0.77,8
2024-09-16,Jose Camacho Collados,Michael Wiedenkeller,NA,2406,FIDE,1,2439,9.94,0.56,9
2024-09-17,Jose Camacho Collados,Jingyao Tin,NA,2352,FIDE,0,2432,10.57,0.63,9
2024-09-19,Jose Camacho Collados,Sion Radamantys Galaviz Medina,NA,2488,FIDE,0,2428,11.01,0.44,9
2024-09-20,Jose Camacho Collados,Jianwen Wong,NA,2231,FIDE,0.5,2425,11.79,0.78,9.5
2024-09-22,Jose Camacho Collados,Jorge Cori,NA,2609,FIDE,0,2422,12.07,0.28,9.5
2024-11-23,Jose Camacho Collados,Andrew Ledger,NA,2396,ENG,0,2416,12.64,0.57,9.5
2024-11-24,Jose Camacho Collados,Ameet K Ghasi,NA,2574,ENG,0.5,2418,12.97,0.33,10
2024-07-05,Daniel Kozusek,David Robinson,e1 david robinson,1910,E1,1,2424,0.9,0.9,1
2024-07-05,Daniel Kozusek,Francisco Javier Cuenca Jimenez,NA,2036,FIDE,1,2425,1.8,0.9,2
2024-07-06,Daniel Kozusek,Jack Liu,NA,2230,ENG,1,2427,2.55,0.75,3
2024-07-07,Daniel Kozusek,Yichen Han,NA,2434,ENG,0.5,2428,3.03,0.48,3.5
2024-07-07,Daniel Kozusek,Aaravamudhan Balaji,NA,2388,ENG,0.5,2427,3.58,0.55,4
2024-07-08,Daniel Kozusek,Avyukt Dasgupta,NA,2182,ENG,1,2429,4.38,0.8,5
2024-07-09,Daniel Kozusek,Alex Golding,NA,2348,ENG,0.5,2428,4.99,0.61,5.5
2024-07-09,Daniel Kozusek,Boris Chatalbashev,NA,2483,FIDE,0,2424,5.4,0.41,5.5
2024-07-10,Daniel Kozusek,Maria Florencia Fernandez,NA,2103,FIDE,1,2425,6.26,0.86,6.5
2024-09-12,Daniel Kozusek,Andrei Macovei,NA,2464,FIDE,0,2421,6.7,0.44,6.5
2024-09-13,Daniel Kozusek,Donaldo Paiva,NA,2139,FIDE,1,2423,7.54,0.84,7.5
2024-09-14,Daniel Kozusek,Li Min Peng,NA,2514,FIDE,0,2419,7.91,0.37,7.5
2024-09-15,Daniel Kozusek,Moakofi Notha,NA,1996,FIDE,0,2410,8.81,0.9,7.5
2024-09-17,Daniel Kozusek,Jagadeesh Siddharth,NA,2367,FIDE,0,2404,9.39,0.58,7.5
2024-09-18,Daniel Kozusek,Tegegn Mehadem Birhanu,NA,2077,FIDE,1,2405,10.27,0.88,8.5
2024-09-19,Daniel Kozusek,Gilberto Hernandez Guerrero,NA,2482,FIDE,0.5,2406,10.69,0.42,9
2024-09-21,Daniel Kozusek,Ern Jie Anderson Ang,NA,2132,FIDE,1,2408,11.53,0.84,10
2024-09-22,Daniel Kozusek,Gianmarco Leiva,NA,2389,FIDE,0.5,2407,12.08,0.55,10.5
2024-10-09,Ioan Rees,Jonathan E Swindells,NA,2258,ENG,1,2345,0.62,0.62,1
2024-10-14,Ioan Rees,Cory S Hazlehurst,NA,2089,ENG,1,2347,1.43,0.81,2
2024-11-04,Ioan Rees,Maurice J Staples,NA,1967,ENG,1,2348,2.33,0.9,3
2024-11-23,Ioan Rees,Martyna Starosta,NA,1907,ENG,1,2349,3.23,0.9,4
2024-11-24,Ioan Rees,Marco Gallana,NA,2365,ENG,0.5,2349,3.7,0.47,4.5
2024-12-14,Ioan Rees,Kendrick Botong Zhang,NA,1975,ENG,1,2350,4.59,0.89,5.5
2024-12-14,Ioan Rees,Sooraj Menothuparambil Raju,NA,2263,ENG,1,2354,5.2,0.61,6.5
2024-12-14,Ioan Rees,Tarun Kanyamarala,NA,2437,ENG,0,2350,5.57,0.37,6.5
