Date,Player1,Player2,OppKey,OppRating_Display,RatingType,Result,New,Tot,Exp,Pts
2023-07-03,Ian Abraham,Martin Ilett,e1 martin ilett,1323,E1,1,1568,0.8,0.8,1
2023-07-17,Ian Abraham,Mike Gale,e1 mike gale,1617,E1,0,1555,1.22,0.42,1
2023-07-31,Ian Abraham,Mike White,e1 mike white,909,E1,1,1558,2.12,0.9,2
2023-08-21,Ian Abraham,Sam White,e1 sam white,1376,E1,0.5,1550,2.86,0.74,2.5
2023-09-04,Ian Abraham,John Ryles,e1 john ryles,1521,E1,1,1564,3.42,0.56,3.5
2023-09-25,Ian Abraham,Justin Morgans,e1 justin morgans,1732,E1,1,1588,3.69,0.27,4.5
2023-10-17,Ian Abraham,Anthony Baker,e1 anthony baker,1464,E1,0.5,1583,4.33,0.64,5
2023-11-06,Ian Abraham,Chris Peters,e1 chris peters,1560,E1,1,1599,4.83,0.5,6
2023-11-16,Ian Abraham,Csombor Hanczar,e1 csombor hanczar,1210,E1,1,1603,5.71,0.88,7
2023-11-20,Ian Abraham,Kevin Stephens,e1 kevin stephens,1282,E1,1,1608,6.54,0.83,8
2023-09-14,Govind Anandkumar,John Cox,e1 john cox,1365,E1,0,1356,0.51,0.51,0
2023-10-12,Govind Anandkumar,Martin Ricketts,e1 martin ricketts,1288,E1,1,1368,1.13,0.62,1
2023-10-19,Govind Anandkumar,Joshua McKenna,e1 joshua mckenna,1754,E1,1,1397,1.23,0.1,2
2023-10-22,Govind Anandkumar,Jonathan Thomas,w1 jonathan thomas,1780,W1,0,1393,1.33,0.1,2
2023-10-23,Govind Anandkumar,Justin Morgans,e1 justin morgans,1732,E1,0,1390,1.44,0.11,2
2023-11-03,Govind Anandkumar,Gwyn Havard,e1 gwyn havard,1855,E1,0,1387,1.54,0.1,2
2023-11-09,Govind Anandkumar,Andrei Zhuravlev,e1 andrei zhuravlev,999,E1,1,1390,2.44,0.9,3
2023-11-11,Govind Anandkumar,Claire Gorman,w1 claire gorman,1044,W1,1,1394,3.31,0.87,4
2023-11-11,Govind Anandkumar,Jordan Heatman,w1 jordan heatman,1250,W1,1,1405,3.98,0.67,5
2023-11-12,Govind Anandkumar,Lucas Zheng,e1 lucas zheng,1104,E1,1,1410,4.8,0.82,6
2023-11-12,Govind Anandkumar,David Belochkin,e1 david belochkin,1250,E1,1,1421,5.47,0.67,7
2023-11-26,Govind Anandkumar,Ian Eustis,w1 ian eustis,1779,W1,1,1450,5.57,0.1,8
2023-12-09,Govind Anandkumar,Archie Hewitt,NA,1209,ENG,1,1459,6.29,0.72,9
2023-12-09,Govind Anandkumar,Alex Worsell,NA,1276,ENG,0,1439,6.92,0.63,9
2023-09-20,Michael Arribas-Ayllon,Edward Donovan,e1 edward donovan,1895,E1,0,1620,0.17,0.17,0
2023-10-04,Michael Arribas-Ayllon,David Tibbs,e1 david tibbs,1436,E1,1,1626,0.92,0.75,1
2023-11-29,Michael Arribas-Ayllon,Liam Penny,e1 liam penny,1748,E1,0.5,1630,1.25,0.33,1.5
2023-12-06,Michael Arribas-Ayllon,Chris Fox,e1 chris fox,1577,E1,0,1616,1.82,0.57,1.5
2023-12-13,Michael Arribas-Ayllon,Jake Hurley,e1 jake hurley,1800,E1,0,1610,2.09,0.27,1.5
2023-10-15,Xavier Austin,Stuart Enoch,e1 stuart enoch,1337,E1,0.5,1489,0.71,0.71,0.5
2023-12-06,Xavier Austin,Matthew Davies,e1 matthew davies,1935,E1,0,1486,0.81,0.1,0.5
2023-08-18,Khushi Bagga,Chrysa Mitraka,NA,1436,SCO,0.5,1327,0.34,0.34,0.5
2023-08-18,Khushi Bagga,Sohana Sengupta,NA,1492,ENG,1,1350,0.61,0.27,1.5
2023-08-19,Khushi Bagga,Niamh Bridgeman,NA,1940,ENG,0,1347,0.71,0.1,1.5
2023-08-19,Khushi Bagga,Chrysa Mitraka,NA,1436,SCO,0,1336,1.05,0.34,1.5
2023-08-20,Khushi Bagga,Sohana Sengupta,NA,1492,ENG,0,1327,1.32,0.27,1.5
2023-08-20,Khushi Bagga,Niamh Bridgeman,NA,1940,ENG,0,1324,1.42,0.1,1.5
2023-09-12,Oliver Baines,Vince Teisar,e1 vince teisar,978,E1,0,834,0.32,0.32,0
2023-10-02,Anthony Baker,Ken Hannah,e1 ken hannah,1605,E1,0,1454,0.31,0.31,0
2023-10-17,Anthony Baker,Ian Abraham,e1 ian abraham,1562,E1,0.5,1459,0.67,0.36,0.5
2023-09-14,Andy Basford,Paul Bridges,e1 paul bridges,1703,E1,0.5,1540,0.27,0.27,0.5
2023-10-12,Andy Basford,Steve Jones,e1 steve jones,1500,E1,0,1523,0.82,0.55,0.5
2023-10-17,Andy Basford,Dwain Jones,e1 dwain jones,1426,E1,0,1502,1.47,0.65,0.5
2023-10-23,Andy Basford,Gwynfor Rees,e1 gwynfor rees,2050,E1,0,1499,1.57,0.1,0.5
2023-10-25,Andy Basford,Micah O'Toole,e1 micah o'toole,1600,E1,0,1486,1.97,0.4,0.5
2023-11-23,Andy Basford,Chris Peters,e1 chris peters,1560,E1,0,1471,2.43,0.46,0.5
2023-11-28,Andy Basford,David Lewis,e1 david lewis,1666,E1,0,1461,2.75,0.32,0.5
2023-12-04,Andy Basford,Roy Thomas,e1 roy thomas,1743,E1,0,1454,2.98,0.23,0.5
2023-12-14,Andy Basford,Gareth Richards,e1 gareth richards,1200,E1,0,1426,3.85,0.87,0.5
2023-09-04,Marcus Bedwell,Mike Joslin,e1 mike joslin,1351,E1,1,914,0.1,0.1,1
2023-09-20,Marcus Bedwell,Kristan Enoch,e1 kristan enoch,1454,E1,0,909,0.2,0.1,1
2023-10-09,Marcus Bedwell,Mike Maguire,e1 mike maguire,1574,E1,0,905,0.3,0.1,1
2023-10-30,Marcus Bedwell,Gareth Richards,e1 gareth richards,1200,E1,0,898,0.43,0.13,1
2023-11-05,Marcus Bedwell,Mike Maguire,e1 mike maguire,1574,E1,0,894,0.53,0.1,1
2023-07-04,David Belochkin,Morgan Foulkes,e1 morgan foulkes,1196,E1,0,1232,0.58,0.58,0
2023-07-18,David Belochkin,Adam Sarwar,e1 adam sarwar,926,E1,1,1236,1.45,0.87,1
2023-07-07,David Belochkin,Benjamin Larkin,NA,2094,ENG,0,1233,1.55,0.1,1
2023-07-08,David Belochkin,David Maloberti,NA,2064,FIDE,0,1229,1.65,0.1,1
2023-07-09,David Belochkin,Gareth Richards,e1 gareth richards,1200,E1,0.5,1227,2.22,0.57,1.5
2023-07-09,David Belochkin,Ron Williams,g1 ron williams,1554,G1,1,1254,2.37,0.15,2.5
2023-07-10,David Belochkin,Matthew R Wilson,NA,1934,ENG,0,1251,2.47,0.1,2.5
2023-07-11,David Belochkin,Malcolm Probert,w1 malcolm probert,1472,W1,1,1276,2.69,0.22,3.5
2023-07-12,David Belochkin,Jeremy Menadue,NA,2058,ENG,0,1273,2.79,0.1,3.5
2023-09-05,David Belochkin,Milo Davies,e1 milo davies,1410,E1,0,1264,3.07,0.28,3.5
2023-10-07,David Belochkin,Darson Beeston,w1 darson beeston,1477,W1,1,1289,3.28,0.21,4.5
2023-10-07,David Belochkin,Dave Turner,g1 dave turner,1957,G1,0,1286,3.38,0.1,4.5
2023-10-07,David Belochkin,Ellison Smith,e1 ellison smith,1773,E1,0,1283,3.48,0.1,4.5
2023-10-08,David Belochkin,Joshua McKenna,e1 joshua mckenna,1754,E1,0,1279,3.58,0.1,4.5
2023-10-08,David Belochkin,Bronwen Tuson,d1 bronwen tuson,1100,D1,1,1289,4.28,0.7,5.5
2023-11-10,David Belochkin,Emyr-Wyn Francis,w1 emyr-wyn francis,850,W1,1,1292,5.18,0.9,6.5
2023-11-11,David Belochkin,William Francis,w1 william francis,850,W1,1,1295,6.08,0.9,7.5
2023-11-11,David Belochkin,Arush Ajai Murthy,e1 arush ajai murthy,916,E1,1,1299,6.95,0.87,8.5
2023-11-12,David Belochkin,Kedar Walke,NA,1556,ENG,1,1327,7.1,0.15,9.5
2023-11-12,David Belochkin,Govind Anandkumar,e1 govind anandkumar,1372,E1,0,1316,7.43,0.33,9.5
2023-11-13,David Belochkin,Mike Smith,e1 mike smith,1200,E1,0,1298,8,0.57,9.5
2023-11-26,David Belochkin,Andrew Di-Vetta,e1 andrew di-vetta,1783,E1,0,1295,8.1,0.1,9.5
2023-07-07,Ben Bickford,Joe Fathallah,e1 joe fathallah,2080,E1,0,1496,0.1,0.1,0
2023-07-07,Ben Bickford,David Robinson,e1 david robinson,1885,E1,0.5,1509,0.2,0.1,0.5
2023-07-08,Ben Bickford,Andrew Di-Vetta,e1 andrew di-vetta,1783,E1,0,1503,0.36,0.16,0.5
2023-07-09,Ben Bickford,Thomas Nalej,e1 thomas nalej,1086,E1,1,1507,1.26,0.9,1.5
2023-07-09,Ben Bickford,Matthew R Wilson,NA,1934,ENG,0,1503,1.36,0.1,1.5
2023-07-10,Ben Bickford,McKenzie Archibald,w1 mckenzie archibald,1374,W1,0.5,1498,2.03,0.67,2
2023-07-11,Ben Bickford,Malcolm Probert,w1 malcolm probert,1472,W1,0.5,1497,2.57,0.54,2.5
2023-07-11,Ben Bickford,Kamran Harandi,NA,1517,ENG,0,1481,3.04,0.47,2.5
2023-09-08,Ben Bickford,Mark Reckless,e1 mark reckless,1400,E1,1,1493,3.68,0.64,3.5
2023-09-09,Ben Bickford,Patrick Bourne,d1 patrick bourne,1109,D1,1,1496,4.58,0.9,4.5
2023-09-09,Ben Bickford,Ron Williams,g1 ron williams,1554,G1,0,1483,5,0.42,4.5
2023-09-10,Ben Bickford,Laurence Tarbuck,NA,1706,ENG,0,1475,5.23,0.23,4.5
2023-09-10,Ben Bickford,Mike Stannard,g1 mike stannard,1226,G1,0.5,1465,6.06,0.83,5
2023-09-11,Ben Bickford,Gwynfor Rees,e1 gwynfor rees,2050,E1,0,1462,6.16,0.1,5
2023-10-02,Ben Bickford,Dave Parsons,e1 dave parsons,1704,E1,0,1454,6.4,0.24,5
2023-10-16,Ben Bickford,Russell Dodington,e1 russell dodington,1678,E1,0,1446,6.66,0.26,5
2023-10-30,Ben Bickford,Andrew Jeanes,e1 andrew jeanes,1556,E1,0.5,1448,7.08,0.42,5.5
2023-11-06,Ben Bickford,Emma Kong,e1 emma kong,1478,E1,0,1431,7.61,0.53,5.5
2023-12-11,Ben Bickford,Ken Hannah,e1 ken hannah,1605,E1,1,1452,7.96,0.35,6.5
2023-07-07,Michael Binks,Andrew Di-Vetta,e1 andrew di-vetta,1783,E1,1,2142,0.89,0.89,1
2023-07-07,Michael Binks,James C Foster,NA,1919,ENG,0,2129,1.67,0.78,1
2023-07-08,Michael Binks,Emily Maton,NA,2016,ENG,1,2135,2.34,0.67,2
2023-07-09,Michael Binks,Jeremy Menadue,NA,2058,ENG,0,2125,2.96,0.62,2
2023-07-09,Michael Binks,David Robinson,e1 david robinson,1885,E1,0.5,2120,3.77,0.81,2.5
2023-07-10,Michael Binks,Bence Szakmany,e1 bence szakmany,1799,E1,1,2122,4.65,0.88,3.5
2023-07-11,Michael Binks,Ifan Rathbone-Jones,n1 ifan rathbone-jones,2038,N1,1,2127,5.29,0.64,4.5
2023-07-11,Michael Binks,Olivia Smith,e1 olivia smith,2196,E1,0,2121,5.71,0.42,4.5
2023-07-12,Michael Binks,David L Roberts,NA,2031,ENG,0.5,2118,6.36,0.65,5
2023-07-24,Michael Binks,David W Fryer,NA,1961,ENG,0,2106,7.1,0.74,5
2023-07-25,Michael Binks,Nigel W Dennis,NA,1766,ENG,1,2108,8,0.9,6
2023-07-26,Michael Binks,Susan Chadwick,NA,1510,ENG,1,2110,8.9,0.9,7
2023-07-27,Michael Binks,Maurice Lawson,NA,2023,ENG,0,2099,9.56,0.66,7
2023-07-28,Michael Binks,Ed H Goodwin,NA,1904,ENG,1,2102,10.36,0.8,8
2023-07-29,Michael Binks,Raj Bhopal,NA,2117,SCO,1,2110,10.89,0.53,9
2023-09-26,Michael Binks,Jonathan James,e1 jonathan james,1992,E1,0,2099,11.59,0.7,9
2023-10-16,Michael Binks,Mike Gale,e1 mike gale,1617,E1,0,2084,12.49,0.9,9
2023-10-31,Michael Binks,Jonathan Gilbert,g1 jonathan gilbert,2031,G1,0.5,2082,13.14,0.65,9.5
