Date,Player1,Player2,OppKey,OppRating_Display,RatingType,Result,New,Tot,Exp,Pts
2025-02-02,Jose Camacho Collados,Roy Phillips,w1 roy phillips,2167,W1,1,2420,0.81,0.81,1
2025-02-15,Jose Camacho Collados,Frankie Badacsonyi,NA,2278,ENG,1,2423,1.5,0.69,2
2025-02-16,Jose Camacho Collados,Harry Grieve,NA,2456,ENG,0,2419,1.95,0.45,2
2025-02-18,Jose Camacho Collados,Jainill Vadalia,NA,1991,ENG,0.5,2415,2.85,0.9,2.5
2025-02-18,Jose Camacho Collados,Alex Freeland,e1 alex freeland,2082,E1,1,2416,3.72,0.87,3.5
2025-02-19,Jose Camacho Collados,Matthias Prof. Dr. Kiese,NA,2109,EST,1,2417,4.58,0.86,4.5
2025-02-20,Jose Camacho Collados,David J Spence,NA,2297,ENG,0,2411,5.25,0.67,4.5
2025-02-20,Jose Camacho Collados,Tim Elgar,NA,2186,ENG,0.5,2408,6.04,0.79,5
2025-02-21,Jose Camacho Collados,Lorenzo Fava,NA,2385,ENG,0.5,2407,6.59,0.55,5.5
2025-02-22,Jose Camacho Collados,Callum D Brewer,NA,2218,ENG,0.5,2405,7.35,0.76,6
2025-02-22,Jose Camacho Collados,Matthew P Dignam,NA,2247,ENG,0,2397,8.08,0.73,6
2025-02-23,Jose Camacho Collados,Dildarav Lishoy Gengis Paratazham,NA,2103,ENG,0.5,2394,8.94,0.86,6.5
2025-04-18,Jose Camacho Collados,Joe Fathallah,e1 joe fathallah,2043,E1,1,2395,9.84,0.9,7.5
2025-04-18,Jose Camacho Collados,Bence Szakmany,e1 bence szakmany,1969,E1,1,2396,10.74,0.9,8.5
2025-04-19,Jose Camacho Collados,Tim Kett,e1 tim kett,2209,E1,1,2398,11.51,0.77,9.5
2025-04-19,Jose Camacho Collados,Iwan Cave,n1 iwan cave,2213,N1,0.5,2395,12.27,0.76,10
2025-04-20,Jose Camacho Collados,Jonathan LB Blackburn,g1 jonathan lb blackburn,2291,G1,1,2399,12.95,0.68,11
2025-04-21,Jose Camacho Collados,Grzegorz Toczek,e1 grzegorz toczek,2300,E1,1,2402,13.61,0.66,12
2025-04-21,Jose Camacho Collados,Alex Freeland,e1 alex freeland,2082,E1,1,2403,14.48,0.87,13
2025-05-03,Jose Camacho Collados,Jonah B Willow,NA,2521,ENG,0.5,2405,14.84,0.36,13.5
2025-05-04,Jose Camacho Collados,Ezra Kirk,NA,2478,ENG,1,2411,15.25,0.41,14.5
2025-05-05,Jose Camacho Collados,Jonathan W Rogers,NA,2339,ENG,1,2414,15.86,0.61,15.5
2025-05-11,Jose Camacho Collados,Alex Bullen,e1 alex bullen,2241,E1,1,2417,16.59,0.73,16.5
2025-05-26,Jose Camacho Collados,Audrey Kueh,NA,2159,ENG,1,2419,17.41,0.82,17.5
2025-05-26,Jose Camacho Collados,Jose Fernando Cuerca Jimenez,NA,2487,FIDE,0.5,2420,17.81,0.4,18
2025-05-27,Jose Camacho Collados,Ameet K Ghasi,NA,2575,ENG,0.5,2422,18.1,0.29,18.5
2025-05-28,Jose Camacho Collados,Sergei Tiviakov,NA,2606,ENG,0.5,2425,18.35,0.25,19
2025-05-28,Jose Camacho Collados,Liam D Varnam,NA,2227,ENG,1,2427,19.1,0.75,20
2025-05-29,Jose Camacho Collados,Mathhew J Wadsworth,NA,2575,ENG,1,2434,19.39,0.29,21
2025-05-30,Jose Camacho Collados,Marcos Camacho Collados,NA,2462,FIDE,0.5,2435,19.83,0.44,21.5
2025-05-30,Jose Camacho Collados,Jonah B Willow,NA,2490,ENG,0.5,2436,20.23,0.4,22
2025-05-31,Jose Camacho Collados,Marin Bosiocic,NA,2507,ENG,0,2432,20.6,0.37,22
2025-01-08,Ioan Rees,Daniel M Lambourne,NA,2070,ENG,1,2351,0.83,0.83,1
2025-01-25,Ioan Rees,Tanmay Chopra,NA,2430,ENG,0.5,2352,1.22,0.39,1.5
2025-01-26,Ioan Rees,Theo Khoury,NA,2264,ENG,1,2356,1.84,0.62,2.5
2025-01-27,Ioan Rees,Philip Purcell,NA,2108,ENG,1,2358,2.64,0.8,3.5
2025-02-11,Ioan Rees,Tom Junde He,NA,2235,ENG,1,2361,3.3,0.66,4.5
2025-02-15,Ioan Rees,Maxim Dunn,NA,2151,ENG,1,2363,4.06,0.76,5.5
2025-02-16,Ioan Rees,Jude Shearsby,NA,2302,ENG,1,2368,4.63,0.57,6.5
2025-02-24,Ioan Rees,Daniel H Fernandez,NA,2603,ENG,0,2366,4.82,0.19,6.5
2025-05-03,Ioan Rees,Adithya Vaidyanathan,NA,2263,ENG,1,2370,5.44,0.62,7.5
2025-05-04,Ioan Rees,John R Richardson,NA,2311,ENG,0,2364,5.99,0.55,7.5
2025-05-05,Ioan Rees,Tim P Wall,NA,2270,ENG,0.5,2363,6.6,0.61,8
2025-01-06,Richard Dineley,Paul Evans,NA,1981,ENG,1,2314,0.87,0.87,1
2025-01-21,Richard Dineley,Charles F Morris,n1 charles f morris,2123,N1,0.5,2312,1.62,0.75,1.5
2025-01-28,Richard Dineley,Jeff Smith,NA,2092,ENG,1,2314,2.4,0.78,2.5
2025-02-03,Richard Dineley,Geoffery Sage,NA,1966,ENG,1,2315,3.28,0.88,3.5
2025-02-10,Richard Dineley,Steve Kee,NA,2130,ENG,0.5,2313,4.02,0.74,4
2025-02-11,Richard Dineley,Steve Kee,NA,2130,ENG,0.5,2310,4.76,0.74,4.5
2025-02-17,Richard Dineley,Gary Quillan,NA,2373,ENG,0,2306,5.17,0.41,4.5
2025-02-18,Richard Dineley,Denys Podcherniaeva,n1 denys podcherniaeva,1874,N1,1,2307,6.07,0.9,5.5
2025-02-25,Richard Dineley,Roger Winterburn,n1 roger winterburn,1878,N1,1,2308,6.97,0.9,6.5
2025-04-01,Richard Dineley,Lucas Ofubu,NA,1873,ENG,1,2309,7.87,0.9,7.5
