Date,Player1,Player2,OppKey,OppRating_Display,RatingType,Result,New,Tot,Exp,Pts
2024-01-13,Jose Camacho Collados,Dimitrios Levon Zakarian,NA,2114,ENG,0.5,2469,0.89,0.89,0.5
2024-01-14,Jose Camacho Collados,Maciej Czopor,NA,2353,FIDE,0,2462,1.56,0.67,0.5
2024-02-10,Jose Camacho Collados,Neil Berry,NA,2306,ENG,0.5,2460,2.28,0.72,1
2024-02-11,Jose Camacho Collados,Harry Grieve,NA,2519,ENG,0,2456,2.71,0.43,1
2024-02-17,Jose Camacho Collados,David Norris,g1 david norris,1478,G1,1,2457,3.61,0.9,2
2024-02-17,Jose Camacho Collados,Liam Penny,e1 liam penny,1741,E1,1,2458,4.51,0.9,3
2024-02-17,Jose Camacho Collados,Ifan Rathbone-Jones,n1 ifan rathbone-jones,2057,N1,1,2459,5.41,0.9,4
2024-02-18,Jose Camacho Collados,Joe Fathallah,e1 joe fathallah,2054,E1,1,2460,6.31,0.9,5
2024-02-18,Jose Camacho Collados,Alex Bullen,e1 alex bullen,2227,E1,1,2462,7.11,0.8,6
2024-03-03,Jose Camacho Collados,Alexis Harakis,d1 alexis harakis,2321,D1,1,2465,7.82,0.71,7
2024-03-16,Jose Camacho Collados,Daniel W Gormally,NA,2433,ENG,1,2469,8.38,0.56,8
2024-03-17,Jose Camacho Collados,Stefan Macak,NA,2321,FIDE,0,2462,9.09,0.71,8
2024-03-29,Jose Camacho Collados,Iwan Cave,n1 iwan cave,2182,N1,0.5,2459,9.93,0.84,8.5
2024-03-29,Jose Camacho Collados,Hugo Fowler,g1 hugo fowler,2110,G1,1,2460,10.82,0.89,9.5
2024-03-30,Jose Camacho Collados,Carl Strugnell,e1 carl strugnell,2188,E1,0,2451,11.66,0.84,9.5
2024-03-30,Jose Camacho Collados,Michael Binks,e1 michael binks,2049,E1,1,2452,12.56,0.9,10.5
2024-03-31,Jose Camacho Collados,Olivia Smith,e1 olivia smith,2189,E1,1,2454,13.4,0.84,11.5
2024-04-01,Jose Camacho Collados,Alex Bullen,e1 alex bullen,2227,E1,1,2456,14.2,0.8,12.5
2024-04-01,Jose Camacho Collados,Jonathan LB Blackburn,g1 jonathan lb blackburn,2306,G1,0.5,2454,14.92,0.72,13
2024-05-04,Jose Camacho Collados,Eldar Gasanov,NA,2537,ENG,1,2460,15.33,0.41,14
2024-05-05,Jose Camacho Collados,Jonathan Pein,NA,2328,ENG,0,2453,16.03,0.7,14
2024-05-05,Jose Camacho Collados,Constantin Lupulescu,NA,2661,ENG,0,2450,16.28,0.25,14
2024-05-12,Jose Camacho Collados,Grzegorz Toczek,e1 grzegorz toczek,2328,E1,0.5,2448,16.98,0.7,14.5
2024-03-29,Daniel Kozusek,Michael Binks,e1 michael binks,2049,E1,1,2425,0.9,0.9,1
2024-03-29,Daniel Kozusek,Alex Bullen,e1 alex bullen,2227,E1,0,2417,1.66,0.76,1
2024-03-30,Daniel Kozusek,Iwan Cave,n1 iwan cave,2182,N1,0.5,2414,2.46,0.8,1.5
2024-03-30,Daniel Kozusek,Lee Davis,e1 lee davis,2127,E1,1,2416,3.31,0.85,2.5
2024-03-31,Daniel Kozusek,Allan Pleasants,e1 allan pleasants,2121,E1,1,2417,4.16,0.85,3.5
2024-04-01,Daniel Kozusek,Grzegorz Toczek,e1 grzegorz toczek,2328,E1,1,2421,4.79,0.63,4.5
2024-04-01,Daniel Kozusek,Carl Strugnell,e1 carl strugnell,2188,E1,1,2423,5.59,0.8,5.5
2023-09-25,Ioan Rees,John Mildenhall,NA,1945,ENG,1,2334,0.9,0.9,1
2023-11-29,Ioan Rees,Patrick CM Duncan,NA,2094,ENG,1,2336,1.7,0.8,2
2023-12-04,Ioan Rees,Irvin B Ortega,NA,2321,ENG,1,2341,2.22,0.52,3
2024-01-13,Ioan Rees,Matthew J Payne,NA,2187,ENG,0.5,2339,2.92,0.7,3.5
