Date,Player1,Player2,OppKey,OppRating_Display,RatingType,Result,New,Tot,Exp,Pts
2022-07-07,Jose Camacho Collados,Dominic V Gibbs,NA,1981,ENG,1,2466,0.9,0.9,1
2022-07-07,Jose Camacho Collados,Alex Bullen,e1 alex bullen,2235,E1,1,2468,1.69,0.79,2
2022-07-08,Jose Camacho Collados,John R. Richardson,NA,2389,ENG,0.5,2467,2.3,0.61,2.5
2022-07-09,Jose Camacho Collados,Tom Brown,e1 tom brown,2211,E1,1,2469,3.11,0.81,3.5
2022-07-10,Jose Camacho Collados,Keith C Arkell,NA,2492,ENG,0,2464,3.57,0.46,3.5
2022-07-11,Jose Camacho Collados,Alistair Hill,NA,2258,ENG,1,2467,4.34,0.77,4.5
2022-07-11,Jose Camacho Collados,Olivia Smith,e1 olivia smith,2156,E1,1,2468,5.2,0.86,5.5
2022-07-12,Jose Camacho Collados,Peter K Wells,NA,2429,ENG,0,2463,5.75,0.55,5.5
2022-09-02,Jose Camacho Collados,Mark Thomas,w1 mark thomas,1916,W1,1,2464,6.65,0.9,6.5
2022-09-03,Jose Camacho Collados,Dave Turner,g1 dave turner,1968,G1,1,2465,7.55,0.9,7.5
2022-09-04,Jose Camacho Collados,Daniel Kozusek,e1 daniel kozusek,2410,E1,1,2469,8.13,0.58,8.5
2022-09-04,Jose Camacho Collados,Alan Young,w1 alan young,2092,W1,1,2470,9.03,0.9,9.5
2022-10-22,Jose Camacho Collados,Connor Clarke,NA,2095,ENG,0.5,2466,9.92,0.89,10
2022-11-05,Jose Camacho Collados,Laurence E Webb,NA,2274,ENG,1,2468,10.67,0.75,11
2022-09-02,Daniel Kozusek,Guy Wagner,e1 guy wagner,1783,E1,1,2411,0.9,0.9,1
2022-09-03,Daniel Kozusek,Jeremy F S Menadue,NA,2021,ENG,1,2412,1.8,0.9,2
2022-09-03,Daniel Kozusek,Joe Fathallah,e1 joe fathallah,2075,E1,1,2413,2.67,0.87,3
2022-09-04,Daniel Kozusek,Jose Camacho Collados,e1 jose camacho collados,2465,E1,0,2409,3.09,0.42,3
2022-09-04,Daniel Kozusek,Kevin P Goater,NA,2114,ENG,1,2411,3.94,0.85,4
2022-07-29,Grzegorz Toczek,Alexei Shirov,NA,2704,FIDE,0,2329,0.1,0.1,0
2022-07-30,Grzegorz Toczek,Donaldo Paiva,NA,2191,FIDE,0.5,2327,0.79,0.69,0.5
2022-07-31,Grzegorz Toczek,Neuris Delgado Ramirez,NA,2614,FIDE,0,2325,0.95,0.16,0.5
2022-08-01,Grzegorz Toczek,Husain Ayyad,NA,2209,FIDE,0,2319,1.62,0.67,0.5
2022-08-02,Grzegorz Toczek,Zvonko Stanojoski,NA,2412,FIDE,0.5,2320,2,0.38,1
2022-08-05,Grzegorz Toczek,Mohamed Salem Yahi,NA,1862,FIDE,1,2321,2.9,0.9,2
2022-08-06,Grzegorz Toczek,Kenny Solomon,NA,2355,FIDE,0.5,2321,3.36,0.46,2.5
2022-08-07,Grzegorz Toczek,Maung Kyaw Zaw Hein Maung,NA,2121,FIDE,0,2314,4.13,0.77,2.5
2022-08-08,Grzegorz Toczek,Kalle Kiik,NA,2365,FIDE,0,2309,4.58,0.45,2.5
2022-10-15,Grzegorz Toczek,Tom Bennett,e1 tom bennett,1633,E1,1,2310,5.48,0.9,3.5
2022-10-15,Grzegorz Toczek,Liam Penny,e1 liam penny,1813,E1,1,2311,6.38,0.9,4.5
2022-10-15,Grzegorz Toczek,Ifan Rathbone-Jones,n1 ifan rathbone-jones,2065,N1,1,2313,7.2,0.82,5.5
2022-10-16,Grzegorz Toczek,Tom Brown,e1 tom brown,2211,E1,0.5,2311,7.86,0.66,6
2022-10-16,Grzegorz Toczek,Alex Bullen,e1 alex bullen,2235,E1,0.5,2310,8.49,0.63,6.5
2022-05-24,Richard Dineley,Mohammed Ayad,n1 mohammed ayad,1729,N1,1,2310,0.9,0.9,1
2022-06-14,Richard Dineley,Mohammed Ayad,n1 mohammed ayad,1729,N1,1,2311,1.8,0.9,2
2022-09-13,Richard Dineley,Mohammed Ayad,n1 mohammed ayad,1729,N1,1,2312,2.7,0.9,3
2022-10-04,Richard Dineley,John Carleton,NA,2159,ENG,0.5,2310,3.4,0.7,3.5
