Date,Player1,Player2,OppKey,OppRating_Display,RatingType,Result,New,Tot,Exp,Pts
2023-02-12,Jose Camacho Collados,Indy Southcott-Moyers,NA,2223,ENG,1,2470,0.8,0.8,1
2023-03-12,Jose Camacho Collados,Grzegorz Toczek,e1 grzegorz toczek,2310,E1,0.5,2468,1.51,0.71,1.5
2023-03-18,Jose Camacho Collados,Bajrush Kelmendi,NA,2083,ENG,1,2469,2.41,0.9,2.5
2023-03-19,Jose Camacho Collados,Ameet Ghasi,NA,2592,ENG,0,2466,2.74,0.33,2.5
2023-04-29,Jose Camacho Collados,Alexei Shirov,NA,2654,FIDE,0,2463,3,0.26,2.5
2023-04-30,Jose Camacho Collados,Ezra Kirk,NA,2533,ENG,1,2469,3.41,0.41,3.5
2023-05-01,Jose Camacho Collados,Marcus Harvey,NA,2541,ENG,0,2465,3.81,0.4,3.5
2023-03-18,Daniel Kozusek,Conor E Murphy,NA,2507,ENG,0,2407,0.37,0.37,0
2023-03-19,Daniel Kozusek,Samuel Chow,NA,2410,ENG,1,2412,0.87,0.5,1
2023-04-07,Daniel Kozusek,Joe Fathallah,e1 joe fathallah,2081,E1,1,2414,1.74,0.87,2
2023-04-07,Daniel Kozusek,Tim Kett,e1 tim kett,2220,E1,1,2416,2.49,0.75,3
2023-04-08,Daniel Kozusek,Jonathan LB Blackburn,g1 jonathan lb blackburn,2240,G1,1,2419,3.22,0.73,4
2023-04-08,Daniel Kozusek,Grzegorz Toczek,e1 grzegorz toczek,2310,E1,1,2422,3.86,0.64,5
2023-04-09,Daniel Kozusek,Adam Musson,w1 adam musson,2140,W1,1,2424,4.69,0.83,6
2023-04-10,Daniel Kozusek,Sam Jukes,e1 sam jukes,2061,E1,1,2425,5.57,0.88,7
2023-04-10,Daniel Kozusek,Charles F Morris,n1 charles f morris,2153,N1,1,2427,6.39,0.82,8
2022-12-31,Howard Williams,Murray Smith,d1 murray smith,2200,D1,0.5,2338,0.69,0.69,0.5
2023-02-14,Howard Williams,Alexis Harakis,d1 alexis harakis,2313,D1,0,2333,1.23,0.54,0.5
2023-04-19,Howard Williams,Ewan Ferguson,d1 ewan ferguson,1800,D1,1,2334,2.13,0.9,1.5
2023-04-19,Howard Williams,Luis Sanchez,d1 luis sanchez,1950,D1,0.5,2330,3.03,0.9,2
2023-04-24,Howard Williams,Alexis Harakis,d1 alexis harakis,2313,D1,0.5,2329,3.57,0.54,2.5
2023-05-02,Howard Williams,Alexis Harakis,d1 alexis harakis,2313,D1,0.5,2329,4.11,0.54,3
2023-06-02,Howard Williams,Ewan Ferguson,d1 ewan ferguson,1800,D1,1,2330,5.01,0.9,4
2023-01-06,Ioan Rees,Adam May,w1 adam may,1908,W1,1,2339,0.9,0.9,1
2023-01-07,Ioan Rees,Joe Fathallah,e1 joe fathallah,2081,E1,1,2341,1.71,0.81,2
2023-01-07,Ioan Rees,Jason Garcia,w1 jason garcia,2048,W1,1,2342,2.55,0.84,3
2023-01-08,Ioan Rees,Alex Bullen,e1 alex bullen,2201,E1,1,2346,3.24,0.69,4
2023-01-08,Ioan Rees,Stephen J Homer,NA,2031,ENG,1,2347,4.09,0.85,5
2023-03-13,Ioan Rees,Christopher D Lewis,NA,1939,ENG,1,2348,4.99,0.9,6
2023-03-29,Ioan Rees,Richard McNally,NA,2002,ENG,0,2339,5.86,0.87,6
2023-04-12,Ioan Rees,Neil Clarke,NA,1973,ENG,1,2340,6.75,0.89,7
2023-04-29,Ioan Rees,Killian Delaney,NA,2337,ENG,1,2345,7.25,0.5,8
2023-04-30,Ioan Rees,Jonah Willow,NA,2516,ENG,0,2343,7.51,0.26,8
2023-05-01,Ioan Rees,Richard Bates,NA,2338,ENG,0.5,2343,8.01,0.5,8.5
2022-11-22,Richard Dineley,Philip Crocker,NA,2216,ENG,1,2320,0.64,0.64,1
2022-11-30,Richard Dineley,Joe Muxlow,n1 joe muxlow,1585,N1,1,2321,1.54,0.9,2
2023-01-03,Richard Dineley,Charles F Morris,n1 charles f morris,2153,N1,0,2313,2.26,0.72,2
2023-01-31,Richard Dineley,John J Carleton,NA,2120,ENG,1,2316,3.02,0.76,3
2023-02-28,Richard Dineley,G Brian Davies,n1 g brian davies,1711,N1,1,2317,3.92,0.9,4
2023-03-14,Richard Dineley,Max Yates,NA,1598,ENG,1,2318,4.82,0.9,5
2023-03-21,Richard Dineley,Philip Crocker,NA,2222,ENG,1,2322,5.45,0.63,6
2023-04-25,Richard Dineley,Phil Crocker,NA,2197,ENG,0.5,2320,6.11,0.66,6.5
2023-05-08,Richard Dineley,Svyatoslav Bazakutsa,NA,2328,FIDE,0,2315,6.59,0.48,6.5
2023-02-14,Alexis Harakis,Howard Williams,d1 howard williams,2340,D1,1,2318,0.46,0.46,1
2023-03-02,Alexis Harakis,Ewan Ferguson,d1 ewan ferguson,1800,D1,1,2319,1.36,0.9,2
